num_founder mean_children_num variance_children_num umi_len err_rate insertion-deletion-substitution replicate total_umi simulated_mean_children_num simulated_variance_children_num substitution_base indel_base simulated_insertion-deletion-substitution substitution_only_umi indel_umi uniq_umi tool clustering_threshold thread runtime_in_sec dedup_umi_cluster V-measure homogeneity_score completeness_score RPU_cutoff RPU_cutoff_model estimated_molecule
10000 100 200 12 0.005 1-1-40 3 1011574 101.157 199 57182 2750 1.000-1.015-41.892 55641 2747 64343 umi-tools 1 1 32.87 12134 0.9974 0.9980 0.9968 NA NA 12134
10000 100 200 12 0.005 1-1-40 3 1011574 101.157 199 57182 2750 1.000-1.015-41.892 55641 2747 64343 calib 1 14 2.20 3683 0.4711 0.3085 0.9968 NA NA 3683
10000 100 200 12 0.005 1-1-40 3 1011574 101.157 199 57182 2750 1.000-1.015-41.892 55641 2747 64343 humid 1 1 14.27 12468 0.9978 0.9984 0.9972 NA NA 12468
10000 100 200 12 0.005 1-1-40 3 1011574 101.157 199 57182 2750 1.000-1.015-41.892 55641 2747 64343 humid-fixed 1 1 18.99 13586 0.9984 0.9995 0.9973 NA NA 13586
10000 100 200 12 0.005 1-1-40 3 1011574 101.157 199 57182 2750 1.000-1.015-41.892 55641 2747 64343 humid-fixed-max 1 1 14.27 10093 0.9697 0.9431 0.9979 NA NA 10093
1000 100 200 18 0.005 1-1-40 1 100802 100.802 195 8610 448 1.000-1.103-40.423 8210 447 9139 UMI-nea 2 14 0.59 1011 1.0000 1.0000 0.9999 50 negbinom 1000
1000 100 200 18 0.005 1-1-40 1 100802 100.802 195 8610 448 1.000-1.103-40.423 8210 447 9139 umi-tools 2 1 1.67 1138 0.9994 1.0000 0.9988 NA NA 1138
1000 100 200 18 0.005 1-1-40 1 100802 100.802 195 8610 448 1.000-1.103-40.423 8210 447 9139 calib 2 14 0.24 1340 0.9985 0.9998 0.9972 NA NA 1340
1000 100 200 18 0.005 1-1-40 1 100802 100.802 195 8610 448 1.000-1.103-40.423 8210 447 9139 humid 2 1 2.63 1176 0.9975 0.9982 0.9968 NA NA 1176
1000 100 200 18 0.005 1-1-40 1 100802 100.802 195 8610 448 1.000-1.103-40.423 8210 447 9139 humid-fixed 2 1 2.68 1188 0.9992 1.0000 0.9985 NA NA 1188
1000 100 200 18 0.005 1-1-40 1 100802 100.802 195 8610 448 1.000-1.103-40.423 8210 447 9139 humid-fixed-max 2 1 2.68 1129 0.9994 0.9998 0.9990 NA NA 1129
1000 100 200 18 0.005 1-1-40 2 101097 101.097 185 8583 445 1.000-1.005-38.662 8200 445 9067 UMI-nea 2 14 0.65 1006 1.0000 1.0000 1.0000 54 negbinom 1000
